source,backend,peak_score,rmse,mae,pearson_r,coverage,qc_verdicts,wall_s,tokens,error,run_dir
danube:210018:1839-01,lineformer_local,0.968708922431337,5.50316654866984,4.712099121458906,0.9833963415283388,1.0,p01:ok,11.884845733642578,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-012923-210018_tif_M01
danube:210018:1839-02,lineformer_local,0.9835492144224246,3.1918773766041046,2.241832707205216,0.9987281994464641,1.0,p01:ok,14.959581136703491,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-012935-210018_tif_M02
danube:210018:1839-03,lineformer_local,0.9365345001899789,6.5175724116668485,4.330423965771426,0.9874099380106608,1.0,p01:ok,11.344624757766724,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-012950-210018_tif_M03
danube:210018:1839-04,lineformer_local,0.959566180923344,3.938868112615053,3.2236324799952105,0.9883386405374077,1.0,p01:minor,10.555312633514404,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-013001-210018_tif_M04
danube:210018:1839-05,lineformer_local,0.9633104150624031,6.551808274221055,4.5157897504050935,0.9295258417801998,1.0,p01:ok,12.918089151382446,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-013012-210018_tif_M05
danube:210018:1839-06,lineformer_local,0.9845447349080603,5.816485404555408,4.550013170071894,0.9794265742221884,1.0,p01:ok,10.896425008773804,0,,outputs\eval\bench_a\runs_lineformer_local\20260703-013025-210018_tif_M06
danube:210018:1839-01,gemini_points,0.9505756762348054,9.76275668349436,5.6950178362256985,0.9336907425765965,1.0,p01:minor,26.50264835357666,5815,,outputs\eval\bench_a\runs_gemini_points\20260703-013035-210018_tif_M01
danube:210018:1839-02,gemini_points,0.9972985917757724,2.462686165566694,2.1210020822203197,0.9995548676136287,1.0,p01:ok,27.22783637046814,5703,,outputs\eval\bench_a\runs_gemini_points\20260703-013102-210018_tif_M02
danube:210018:1839-03,gemini_points,0.9620134299611621,14.063948481918988,7.894229022872387,0.9223781007301216,1.0,p01:ok,24.978163719177246,5593,,outputs\eval\bench_a\runs_gemini_points\20260703-013129-210018_tif_M03
danube:210018:1839-04,gemini_points,0.9862030291946547,1.6997926527969092,1.332473926459523,0.9973742010975122,1.0,p01:minor,21.772419452667236,4390,,outputs\eval\bench_a\runs_gemini_points\20260703-013154-210018_tif_M04
danube:210018:1839-05,gemini_points,0.9905835745766669,4.261142093335571,3.034403451042837,0.9777221159957761,1.0,p01:minor,42.3438606262207,8881,,outputs\eval\bench_a\runs_gemini_points\20260703-013216-210018_tif_M05
danube:210018:1839-06,gemini_points,0.986399274302653,6.466383220478165,4.973484297416248,0.9787064198384781,1.0,p01:minor,24.185314655303955,4817,,outputs\eval\bench_a\runs_gemini_points\20260703-013258-210018_tif_M06
