source,backend,peak_score,rmse,mae,pearson_r,coverage,qc_verdicts,wall_s,tokens,error,run_dir
danube:210018:1839-07,lineformer_local,0.9121928152452606,4.57252532766653,2.9057030118239933,0.8799598197097311,1.0,p01:ok,10.953997135162354,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013500-210018_tif_M07
danube:210018:1839-08,lineformer_local,0.9868641728953932,2.5449703675560014,2.169602596510677,0.9889532256131737,1.0,p01:ok,11.197863578796387,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013511-210018_tif_M08
danube:210018:1839-09,lineformer_local,0.9772434495084139,10.335347478365694,5.94879498355199,0.9636333357842959,1.0,p01:ok,9.560040950775146,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013522-210018_tif_M09
danube:210018:1839-10,lineformer_local,0.9941561721142582,4.318429903774671,3.9120009153973654,0.9889885883570001,1.0,p01:ok,9.915900945663452,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013531-210018_tif_M10
danube:210018:1839-11,lineformer_local,0.9234035005851955,3.0724132763075387,2.9666357595411155,0.9778353492982904,1.0,p01:ok,9.302082061767578,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013541-210018_tif_M11
danube:210018:1839-12,lineformer_local,0.9846362509479243,11.797446362283345,8.196444008691458,0.9905321780037423,1.0,p01:minor,15.950368642807007,0,,outputs\eval\bench_b\runs_lineformer_local\20260703-013551-210018_tif_M12
danube:210018:1839-07,gemini_points,0.9275938601312449,3.124728231558588,1.9940903850242966,0.9465360162036064,1.0,p01:minor,23.448813438415527,5722,,outputs\eval\bench_b\runs_gemini_points\20260703-013606-210018_tif_M07
danube:210018:1839-08,gemini_points,0.970625550964422,3.836981736969076,2.23910524166642,0.9615626125583537,1.0,p01:ok,27.474530935287476,6081,,outputs\eval\bench_b\runs_gemini_points\20260703-013630-210018_tif_M08
danube:210018:1839-09,gemini_points,0.9946519125225626,2.5805800436205137,2.4130326761258916,0.9997130468479952,1.0,p01:ok,19.39573097229004,4502,,outputs\eval\bench_b\runs_gemini_points\20260703-013657-210018_tif_M09
danube:210018:1839-10,gemini_points,0.9959804394653496,3.930367634733658,3.6734648875765568,0.9923184502549616,1.0,p01:ok,23.523422479629517,5592,,outputs\eval\bench_b\runs_gemini_points\20260703-013717-210018_tif_M10
danube:210018:1839-11,gemini_points,0.8170475273706003,5.586936582543554,5.409475568039394,0.9654642199851377,1.0,p01:minor,23.47212243080139,5520,,outputs\eval\bench_b\runs_gemini_points\20260703-013740-210018_tif_M11
danube:210018:1839-12,gemini_points,0.9885686483908662,10.082158705623959,5.4371127208451595,0.9871713980733614,1.0,p01:ok,38.617857933044434,8921,,outputs\eval\bench_b\runs_gemini_points\20260703-013804-210018_tif_M12
