x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1848-01-01,1.9275,bavarian_foot,562.56,44.0,1648.5,1648.5,false
1848-01-02,1.8193,bavarian_foot,530.97,66.5,1658.5,1658.5,false
1848-01-03,1.5541,bavarian_foot,453.58,88.5,1683.0,1683.0,false
1848-01-04,1.2348,bavarian_foot,360.40,111.0,1712.5,1712.5,false
1848-01-05,0.7532,bavarian_foot,219.84,133.0,1757.0,1757.0,false
1848-01-06,0.5422,bavarian_foot,158.25,155.5,1776.5,1776.5,false
1848-01-07,0.4177,bavarian_foot,121.92,178.0,1788.0,1788.0,false
1848-01-08,0.2933,bavarian_foot,85.60,200.0,1799.5,1799.5,false
1848-01-09,0.2987,bavarian_foot,87.18,222.5,1799.0,1799.0,false
1848-01-10,0.2879,bavarian_foot,84.02,244.5,1800.0,1800.0,false
1848-01-11,0.3041,bavarian_foot,88.76,267.0,1798.5,1798.5,false
1848-01-12,0.3095,bavarian_foot,90.34,289.0,1798.0,1798.0,false
1848-01-13,0.3312,bavarian_foot,96.65,311.5,1796.0,1796.0,false
1848-01-14,0.3258,bavarian_foot,95.08,334.0,1796.5,1796.5,false
1848-01-15,0.2987,bavarian_foot,87.18,356.0,1799.0,1799.0,false
1848-01-16,0.3474,bavarian_foot,101.39,378.5,1794.5,1794.5,false
1848-01-17,0.3203,bavarian_foot,93.50,400.5,1797.0,1797.0,false
1848-01-18,0.3420,bavarian_foot,99.81,423.0,1795.0,1795.0,false
1848-01-19,0.3745,bavarian_foot,109.29,445.5,1792.0,1792.0,false
1848-01-20,0.4232,bavarian_foot,123.50,467.5,1787.5,1787.5,false
1848-01-21,0.5206,bavarian_foot,151.93,490.0,1778.5,1778.5,false
1848-01-22,0.5639,bavarian_foot,164.57,512.0,1774.5,1774.5,false
1848-01-23,0.6396,bavarian_foot,186.68,534.5,1767.5,1767.5,false
1848-01-24,0.6883,bavarian_foot,200.89,556.5,1763.0,1763.0,false
1848-01-25,0.6991,bavarian_foot,204.05,579.0,1762.0,1762.0,false
1848-01-26,0.6991,bavarian_foot,204.05,601.5,1762.0,1762.0,false
1848-01-27,0.6180,bavarian_foot,180.36,623.5,1769.5,1769.5,false
1848-01-28,0.5368,bavarian_foot,156.67,646.0,1777.0,1777.0,false
1848-01-29,0.4881,bavarian_foot,142.46,668.0,1781.5,1781.5,false
1848-01-30,0.4556,bavarian_foot,132.98,690.5,1784.5,1784.5,false
1848-01-31,0.4286,bavarian_foot,125.08,712.5,1787.0,1787.0,false
1848-02-01,0.6396,bavarian_foot,186.67,735.0,1794.5,1794.5,false
1848-02-02,0.7586,bavarian_foot,221.41,757.5,1783.5,1783.5,false
1848-02-03,0.9480,bavarian_foot,276.69,780.0,1766.0,1766.0,false
1848-02-04,1.3863,bavarian_foot,404.61,802.0,1725.5,1725.5,false
1848-02-05,1.7327,bavarian_foot,505.69,824.5,1693.5,1693.5,false
1848-02-06,3.1125,bavarian_foot,908.42,847.0,1566.0,1566.0,false
1848-02-07,5.8885,bavarian_foot,1718.61,866.5,1309.5,1309.5,false
1848-02-08,15.0443,bavarian_foot,4390.83,891.5,463.5,463.5,false
1848-02-09,16.2294,bavarian_foot,4736.70,914.0,354.0,354.0,false
1848-02-10,17.7446,bavarian_foot,5178.91,936.0,214.0,214.0,false
1848-02-11,17.2467,bavarian_foot,5033.61,958.5,260.0,260.0,false
1848-02-12,13.6075,bavarian_foot,3971.48,981.0,596.3,596.3,false
1848-02-13,9.2705,bavarian_foot,2705.69,1003.0,997.0,997.0,false
1848-02-14,7.4199,bavarian_foot,2165.56,1025.5,1168.0,1168.0,false
1848-02-15,6.0508,bavarian_foot,1765.99,1048.0,1294.5,1294.5,false
1848-02-16,5.2337,bavarian_foot,1527.51,1070.5,1370.0,1370.0,false
1848-02-17,5.2770,bavarian_foot,1540.15,1076.5,1366.0,1366.0,false
