x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1844-06-01,5.7158,bavarian_foot,1668.20,26.5,102.0,102.0,false
1844-06-02,5.2631,bavarian_foot,1536.09,48.0,145.0,145.0,false
1844-06-03,4.6579,bavarian_foot,1359.44,70.0,202.5,202.5,false
1844-06-04,4.4105,bavarian_foot,1287.25,91.5,226.0,226.0,false
1844-06-05,4.1842,bavarian_foot,1221.19,113.5,247.5,247.5,false
1844-06-06,3.7368,bavarian_foot,1090.63,135.0,290.0,290.0,false
1844-06-07,3.5158,bavarian_foot,1026.11,157.0,311.0,311.0,false
1844-06-08,3.2631,bavarian_foot,952.38,178.5,335.0,335.0,false
1844-06-09,3.2000,bavarian_foot,933.94,200.5,341.0,341.0,false
1844-06-10,3.2526,bavarian_foot,949.30,222.0,336.0,336.0,false
1844-06-11,3.4000,bavarian_foot,992.31,244.0,322.0,322.0,false
1844-06-12,3.5105,bavarian_foot,1024.57,265.5,311.5,311.5,false
1844-06-13,3.5158,bavarian_foot,1026.11,287.5,311.0,311.0,false
1844-06-14,3.4737,bavarian_foot,1013.82,309.0,315.0,315.0,false
1844-06-15,3.3368,bavarian_foot,973.88,330.5,328.0,328.0,false
1844-06-16,3.1526,bavarian_foot,920.12,352.5,345.5,345.5,false
1844-06-17,3.0000,bavarian_foot,875.57,374.0,360.0,360.0,false
1844-06-18,2.9158,bavarian_foot,850.99,396.0,368.0,368.0,false
1844-06-19,2.9052,bavarian_foot,847.92,417.5,369.0,369.0,false
1844-06-20,2.8526,bavarian_foot,832.56,439.5,374.0,374.0,false
1844-06-21,2.8737,bavarian_foot,838.70,461.0,372.0,372.0,false
1844-06-22,3.0737,bavarian_foot,897.08,483.0,353.0,353.0,false
1844-06-23,3.0737,bavarian_foot,897.08,504.5,353.0,353.0,false
1844-06-24,2.8421,bavarian_foot,829.49,526.5,375.0,375.0,false
1844-06-25,2.5947,bavarian_foot,757.29,548.0,398.5,398.5,false
1844-06-26,2.6316,bavarian_foot,768.04,570.0,395.0,395.0,false
1844-06-27,2.8052,bavarian_foot,818.74,591.5,378.5,378.5,false
1844-06-28,2.8631,bavarian_foot,835.63,613.5,373.0,373.0,false
1844-06-29,3.0421,bavarian_foot,887.86,635.0,356.0,356.0,false
1844-06-30,3.2526,bavarian_foot,949.30,656.5,336.0,336.0,false
