x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
30,,,,,,,true
29.697,,,,,,,true
29.3939,,,,,,,true
29.0909,,,,,,,true
28.7879,,,,,,,true
28.4848,,,,,,,true
28.1818,,,,,,,true
27.8788,,,,,,,true
27.5758,,,,,,,true
27.2727,,,,,,,true
26.9697,,,,,,,true
26.6667,,,,,,,true
26.3636,,,,,,,true
26.0606,,,,,,,true
25.7576,,,,,,,true
25.4545,,,,,,,true
25.1515,,,,,,,true
24.8485,,,,,,,true
24.5455,,,,,,,true
24.2424,,,,,,,true
23.9394,,,,,,,true
23.6364,,,,,,,true
23.3333,,,,,,,true
23.0303,,,,,,,true
22.7273,,,,,,,true
22.4242,,,,,,,true
22.1212,,,,,,,true
21.8182,,,,,,,true
21.5152,,,,,,,true
21.2121,,,,,,,true
20.9091,,,,,,,true
20.6061,,,,,,,true
20.303,73.8356,unknown,,323.5,1163.0,1163.0,false
20,73.6334,unknown,,331.5,1162.0,1162.0,false
19.697,73.6334,unknown,,338.0,1162.0,1162.0,false
19.3939,73.1280,unknown,,348.5,1159.5,1159.5,false
19.0909,72.9258,unknown,,356.5,1158.5,1158.5,false
18.7879,72.6225,unknown,,365.0,1157.0,1157.0,false
18.4848,72.5214,unknown,,372.5,1156.5,1156.5,false
18.1818,71.2072,unknown,,381.5,1150.0,1150.0,false
17.8788,71.3083,unknown,,390.0,1150.5,1150.5,false
17.5758,71.3083,unknown,,398.0,1150.5,1150.5,false
17.2727,71.1061,unknown,,406.5,1149.5,1149.5,false
16.9697,70.8029,unknown,,415.0,1148.0,1148.0,false
16.6667,70.7018,unknown,,423.0,1147.5,1147.5,false
16.3636,70.1963,unknown,,431.5,1145.0,1145.0,false
16.0606,70.0952,unknown,,440.0,1144.5,1144.5,false
15.7576,70.3985,unknown,,445.5,1146.0,1146.0,false
15.4545,68.2756,unknown,,456.5,1135.5,1135.5,false
15.1515,67.8712,unknown,,464.5,1133.5,1133.5,false
14.8485,66.8603,unknown,,473.0,1128.5,1128.5,false
14.5455,66.9614,unknown,,481.5,1129.0,1129.0,false
14.2424,66.6581,unknown,,489.5,1127.5,1127.5,false
13.9394,65.8494,unknown,,498.0,1123.5,1123.5,false
13.6364,65.7483,unknown,,506.5,1123.0,1123.0,false
13.3333,65.4451,unknown,,514.5,1121.5,1121.5,false
13.0303,64.6363,unknown,,523.0,1117.5,1117.5,false
12.7273,64.0298,unknown,,531.5,1114.5,1114.5,false
12.4242,63.8276,unknown,,539.5,1113.5,1113.5,false
12.1212,63.0189,unknown,,548.0,1109.5,1109.5,false
11.8182,61.8058,unknown,,556.5,1103.5,1103.5,false
11.5152,60.8960,unknown,,564.5,1099.0,1099.0,false
11.2121,60.2894,unknown,,573.0,1096.0,1096.0,false
10.9091,59.1774,unknown,,581.0,1090.5,1090.5,false
10.6061,58.3687,unknown,,589.5,1086.5,1086.5,false
10.303,57.8632,unknown,,598.0,1084.0,1084.0,false
10,56.3469,unknown,,606.0,1076.5,1076.5,false
9.69697,55.4371,unknown,,614.5,1072.0,1072.0,false
9.39394,54.7294,unknown,,623.0,1068.5,1068.5,false
9.09091,53.5163,unknown,,631.0,1062.5,1062.5,false
8.78788,52.1011,unknown,,639.5,1055.5,1055.5,false
8.48485,50.7869,unknown,,648.0,1049.0,1049.0,false
8.18182,48.7651,unknown,,656.0,1039.0,1039.0,false
7.87879,47.6531,unknown,,664.5,1033.5,1033.5,false
7.57576,46.4400,unknown,,672.5,1027.5,1027.5,false
7.27273,44.9236,unknown,,681.0,1020.0,1020.0,false
6.9697,42.9018,unknown,,689.5,1010.0,1010.0,false
6.66667,41.0821,unknown,,697.5,1001.0,1001.0,false
6.36364,39.7680,unknown,,706.0,994.5,994.5,false
6.06061,38.2516,unknown,,714.5,987.0,987.0,false
5.75758,36.5331,unknown,,722.5,978.5,978.5,false
5.45455,34.2080,unknown,,731.0,967.0,967.0,false
5.15152,32.2872,unknown,,739.5,957.5,957.5,false
4.84848,31.0741,unknown,,747.5,951.5,951.5,false
4.54545,29.2545,unknown,,756.0,942.5,942.5,false
4.24242,26.8283,unknown,,764.5,930.5,930.5,false
3.93939,24.4022,unknown,,772.5,918.5,918.5,false
3.63636,22.7847,unknown,,781.0,910.5,910.5,false
3.33333,20.9651,unknown,,789.0,901.5,901.5,false
3.0303,18.7411,unknown,,797.5,890.5,890.5,false
2.72727,16.3149,unknown,,806.0,878.5,878.5,false
2.42424,13.9898,unknown,,814.0,867.0,867.0,false
2.12121,11.7658,unknown,,822.5,856.0,856.0,false
1.81818,8.3287,unknown,,831.0,839.0,839.0,false
1.51515,7.8232,unknown,,836.0,836.5,836.5,false
1.21212,,,,,,,true
0.909091,,,,,,,true
0.606061,,,,,,,true
0.30303,,,,,,,true
0,,,,,,,true
