x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1839-02-01,1.5823,bavarian_foot,461.81,27.5,798.5,798.5,false
1839-02-02,1.5717,bavarian_foot,458.73,50.0,799.5,799.5,false
1839-02-03,1.7300,bavarian_foot,504.91,73.0,784.5,784.5,false
1839-02-04,1.8091,bavarian_foot,528.00,95.5,777.0,777.0,false
1839-02-05,1.8144,bavarian_foot,529.54,117.0,776.5,776.5,false
1839-02-06,1.9357,bavarian_foot,564.94,141.0,765.0,765.0,false
1839-02-07,2.0464,bavarian_foot,597.27,163.5,754.5,754.5,false
1839-02-08,2.1044,bavarian_foot,614.20,186.0,749.0,749.0,false
1839-02-09,2.1836,bavarian_foot,637.29,209.0,741.5,741.5,false
1839-02-10,2.2521,bavarian_foot,657.30,231.5,735.0,735.0,false
1839-02-11,2.4262,bavarian_foot,708.10,254.0,718.5,718.5,false
1839-02-12,2.7532,bavarian_foot,803.54,277.0,687.5,687.5,false
1839-02-13,2.9800,bavarian_foot,869.73,299.5,666.0,666.0,false
1839-02-14,3.0749,bavarian_foot,897.44,322.0,657.0,657.0,false
1839-02-15,3.0380,bavarian_foot,886.66,345.0,660.5,660.5,false
1839-02-16,2.8323,bavarian_foot,826.63,367.5,680.0,680.0,false
1839-02-17,2.5369,bavarian_foot,740.43,390.5,708.0,708.0,false
1839-02-18,2.4209,bavarian_foot,706.56,413.0,719.0,719.0,false
1839-02-19,2.3207,bavarian_foot,677.31,435.5,728.5,728.5,false
1839-02-20,2.2099,bavarian_foot,644.99,451.0,739.0,739.0,false
1839-02-21,2.1888,bavarian_foot,638.83,481.0,741.0,741.0,false
1839-02-22,2.2996,bavarian_foot,671.16,503.5,730.5,730.5,false
1839-02-23,2.5949,bavarian_foot,757.36,526.5,702.5,702.5,false
1839-02-24,5.2268,bavarian_foot,1525.49,549.0,453.0,453.0,false
1839-02-25,8.9082,bavarian_foot,2599.94,571.5,104.0,104.0,false
1839-02-26,7.2838,bavarian_foot,2125.83,594.5,258.0,258.0,false
1839-02-27,5.9019,bavarian_foot,1722.52,617.0,389.0,389.0,false
1839-02-28,4.7679,bavarian_foot,1391.57,639.5,496.5,496.5,false
