x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
0,189.9029,mm,189.90,662.5,564.0,564.0,false
1,18.2363,mm,18.24,691.0,490.0,490.0,false
2,3.3515,mm,3.35,719.5,436.5,436.5,false
3,0.8454,mm,0.85,748.0,393.0,393.0,false
4,0.3892,mm,0.39,776.5,368.5,368.5,false
5,0.2747,mm,0.27,805.0,357.5,357.5,false
6,0.2132,mm,0.21,833.5,349.5,349.5,false
7,0.1655,mm,0.17,862.0,341.5,341.5,false
8,0.1187,mm,0.12,890.5,331.0,331.0,false
9,0.0997,mm,0.10,919.0,325.5,325.5,false
10,0.0838,mm,0.08,947.5,320.0,320.0,false
11,0.0640,mm,0.06,976.0,311.5,311.5,false
12,0.0601,mm,0.06,1004.5,309.5,309.5,false
13,0.0538,mm,0.05,1033.0,306.0,306.0,false
14,0.0481,mm,0.05,1061.5,302.5,302.5,false
15,0.0445,mm,0.04,1090.0,300.0,300.0,false
16,0.0445,mm,0.04,1115.0,300.0,300.0,false
17,0.0445,mm,0.04,1126.0,300.0,300.0,false
18,0.0324,mm,0.03,1163.5,290.0,290.0,false
19,,,,,,,true
20,,,,,,,true
