x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1872-02-01,1.0316,bavarian_foot,301.07,27.0,527.5,527.5,false
1872-02-02,1.0474,bavarian_foot,305.68,49.5,526.0,526.0,false
1872-02-03,1.0316,bavarian_foot,301.07,72.0,527.5,527.5,false
1872-02-04,1.0316,bavarian_foot,301.07,94.5,527.5,527.5,false
1872-02-05,1.0421,bavarian_foot,304.15,117.0,526.5,526.5,false
1872-02-06,1.0474,bavarian_foot,305.68,139.5,526.0,526.0,false
1872-02-07,1.0526,bavarian_foot,307.22,162.0,525.5,525.5,false
1872-02-08,1.0474,bavarian_foot,305.68,184.5,526.0,526.0,false
1872-02-09,1.0526,bavarian_foot,307.22,207.0,525.5,525.5,false
1872-02-10,1.0526,bavarian_foot,307.22,229.0,525.5,525.5,false
1872-02-11,1.0684,bavarian_foot,311.83,251.5,524.0,524.0,false
1872-02-12,1.0684,bavarian_foot,311.83,274.0,524.0,524.0,false
1872-02-13,1.0684,bavarian_foot,311.83,296.5,524.0,524.0,false
1872-02-14,1.0789,bavarian_foot,314.90,319.0,523.0,523.0,false
1872-02-15,1.1105,bavarian_foot,324.12,341.5,520.0,520.0,false
1872-02-16,1.0105,bavarian_foot,294.93,364.0,529.5,529.5,false
1872-02-17,0.8526,bavarian_foot,248.85,385.0,544.5,544.5,false
1872-02-18,0.6368,bavarian_foot,185.87,407.5,565.0,565.0,false
1872-02-19,0.5263,bavarian_foot,153.61,431.5,575.5,575.5,false
1872-02-20,0.4474,bavarian_foot,130.57,451.5,583.0,583.0,false
1872-02-21,0.5526,bavarian_foot,161.29,476.0,573.0,573.0,false
1872-02-22,0.6474,bavarian_foot,188.94,498.5,564.0,564.0,false
1872-02-23,0.9000,bavarian_foot,262.67,521.0,540.0,540.0,false
1872-02-24,1.2789,bavarian_foot,373.27,543.5,504.0,504.0,false
1872-02-25,2.1158,bavarian_foot,617.51,562.5,424.5,424.5,false
1872-02-26,1.0526,bavarian_foot,307.22,588.5,525.5,525.5,false
1872-02-27,1.0421,bavarian_foot,304.15,611.0,526.5,526.5,false
1872-02-28,1.0632,bavarian_foot,310.29,633.5,524.5,524.5,false
1872-02-29,1.0632,bavarian_foot,310.29,655.5,524.5,524.5,false
