x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1,109.4203,unknown,,647.0,508.8,508.8,false
2,281.0453,unknown,,653.0,375.0,375.0,false
3,281.0453,unknown,,659.5,375.0,375.0,false
4,281.0453,unknown,,665.5,375.0,375.0,false
5,281.0453,unknown,,672.0,375.0,375.0,false
6,279.7621,unknown,,678.0,376.0,376.0,false
7,279.7621,unknown,,684.0,376.0,376.0,false
8,279.7621,unknown,,690.5,376.0,376.0,false
9,279.1205,unknown,,696.5,376.5,376.5,false
10,279.1205,unknown,,703.0,376.5,376.5,false
11,279.1205,unknown,,709.0,376.5,376.5,false
12,279.1205,unknown,,715.5,376.5,376.5,false
13,277.8373,unknown,,721.5,377.5,377.5,false
14,276.5542,unknown,,727.5,378.5,378.5,false
15,274.6294,unknown,,734.0,380.0,380.0,false
16,274.6294,unknown,,740.0,380.0,380.0,false
17,273.9878,unknown,,746.5,380.5,380.5,false
18,272.7046,unknown,,752.5,381.5,381.5,false
19,271.4214,unknown,,758.5,382.5,382.5,false
20,271.4214,unknown,,765.0,382.5,382.5,false
21,270.1383,unknown,,771.0,383.5,383.5,false
22,268.8551,unknown,,777.5,384.5,384.5,false
23,268.2135,unknown,,783.5,385.0,385.0,false
24,266.9303,unknown,,790.0,386.0,386.0,false
25,266.2887,unknown,,796.0,386.5,386.5,false
26,266.9303,unknown,,802.0,386.0,386.0,false
27,272.0630,unknown,,808.5,382.0,382.0,false
28,277.8373,unknown,,814.5,377.5,377.5,false
29,283.6116,unknown,,821.0,373.0,373.0,false
30,289.3859,unknown,,827.0,368.5,368.5,false
31,295.8018,unknown,,833.5,363.5,363.5,false
32,300.9345,unknown,,839.5,359.5,359.5,false
33,306.7088,unknown,,845.5,355.0,355.0,false
34,313.1247,unknown,,852.0,350.0,350.0,false
35,318.2574,unknown,,858.0,346.0,346.0,false
36,323.3901,unknown,,864.5,342.0,342.0,false
37,330.4476,unknown,,870.5,336.5,336.5,false
38,336.8635,unknown,,876.5,331.5,331.5,false
39,341.3546,unknown,,883.0,328.0,328.0,false
40,345.8457,unknown,,889.0,324.5,324.5,false
41,350.9784,unknown,,895.5,320.5,320.5,false
42,354.8280,unknown,,901.5,317.5,317.5,false
43,359.3191,unknown,,908.0,314.0,314.0,false
44,362.5270,unknown,,914.0,311.5,311.5,false
45,367.0181,unknown,,920.0,308.0,308.0,false
46,372.1508,unknown,,926.5,304.0,304.0,false
47,376.6420,unknown,,932.5,300.5,300.5,false
48,380.4915,unknown,,939.0,297.5,297.5,false
49,384.3410,unknown,,945.0,294.5,294.5,false
50,390.1153,unknown,,951.0,290.0,290.0,false
51,401.6639,unknown,,957.5,281.0,281.0,false
52,418.3452,unknown,,963.5,268.0,268.0,false
53,435.0265,unknown,,970.0,255.0,255.0,false
54,452.9910,unknown,,976.0,241.0,241.0,false
55,470.3139,unknown,,982.5,227.5,227.5,false
56,486.3536,unknown,,988.5,215.0,215.0,false
57,502.3933,unknown,,994.5,202.5,202.5,false
58,520.9994,unknown,,1001.0,188.0,188.0,false
59,538.9639,unknown,,1007.0,174.0,174.0,false
60,556.9283,unknown,,1013.5,160.0,160.0,false
61,576.1760,unknown,,1019.5,145.0,145.0,false
62,597.3484,unknown,,1026.0,128.5,128.5,false
63,595.4237,unknown,,1032.0,130.0,130.0,false
64,574.2512,unknown,,1038.0,146.5,146.5,false
65,549.2293,unknown,,1044.5,166.0,166.0,false
66,529.3400,unknown,,1050.5,181.5,181.5,false
67,506.2428,unknown,,1057.0,199.5,199.5,false
68,483.7873,unknown,,1063.0,217.0,217.0,false
69,461.9732,unknown,,1069.0,234.0,234.0,false
70,439.5176,unknown,,1075.5,251.5,251.5,false
71,417.0620,unknown,,1081.5,269.0,269.0,false
72,390.1153,unknown,,1088.0,290.0,290.0,false
73,368.9429,unknown,,1094.0,306.5,306.5,false
74,347.1289,unknown,,1100.5,323.5,323.5,false
75,334.9387,unknown,,1106.5,333.0,333.0,false
76,338.1467,unknown,,1112.5,330.5,330.5,false
77,341.3546,unknown,,1119.0,328.0,328.0,false
78,343.2794,unknown,,1125.0,326.5,326.5,false
79,345.8457,unknown,,1131.5,324.5,324.5,false
80,347.7705,unknown,,1137.5,323.0,323.0,false
81,351.6200,unknown,,1144.0,320.0,320.0,false
82,352.9032,unknown,,1150.0,319.0,319.0,false
83,354.8280,unknown,,1156.0,317.5,317.5,false
84,357.3943,unknown,,1162.5,315.5,315.5,false
85,359.9607,unknown,,1168.5,313.5,313.5,false
86,361.8854,unknown,,1175.0,312.0,312.0,false
87,360.6023,unknown,,1181.0,313.0,313.0,false
88,356.7527,unknown,,1187.0,316.0,316.0,false
89,351.6200,unknown,,1193.5,320.0,320.0,false
90,346.4873,unknown,,1199.5,324.0,324.0,false
91,340.0714,unknown,,1206.0,329.0,329.0,false
92,334.9387,unknown,,1212.0,333.0,333.0,false
93,329.1644,unknown,,1218.5,337.5,337.5,false
94,323.3901,unknown,,1224.5,342.0,342.0,false
95,318.2574,unknown,,1230.5,346.0,346.0,false
96,312.4831,unknown,,1237.0,350.5,350.5,false
97,307.3504,unknown,,1243.0,354.5,354.5,false
98,303.5009,unknown,,1249.5,357.5,357.5,false
99,298.3682,unknown,,1255.5,361.5,361.5,false
100,295.1602,unknown,,1261.5,364.0,364.0,false
