x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1848-09-01,4.9957,bavarian_foot,1458.03,27.5,479.0,479.0,false
1848-09-02,4.9903,bavarian_foot,1456.45,50.5,479.5,479.5,false
1848-09-03,4.9849,bavarian_foot,1454.88,62.5,480.0,480.0,false
1848-09-04,4.9849,bavarian_foot,1454.88,96.0,480.0,480.0,false
1848-09-05,4.9849,bavarian_foot,1454.88,118.0,480.0,480.0,false
1848-09-06,4.9794,bavarian_foot,1453.30,141.5,480.5,480.5,false
1848-09-07,4.9740,bavarian_foot,1451.72,164.0,481.0,481.0,false
1848-09-08,4.9416,bavarian_foot,1442.24,187.0,484.0,484.0,false
1848-09-09,4.9416,bavarian_foot,1442.24,209.5,484.0,484.0,false
1848-09-10,4.9362,bavarian_foot,1440.66,232.5,484.5,484.5,false
1848-09-11,4.9470,bavarian_foot,1443.82,255.0,483.5,483.5,false
1848-09-12,5.0173,bavarian_foot,1464.35,278.0,477.0,477.0,false
1848-09-13,5.0173,bavarian_foot,1464.35,300.5,477.0,477.0,false
1848-09-14,5.0552,bavarian_foot,1475.41,323.5,473.5,473.5,false
1848-09-15,5.0173,bavarian_foot,1464.35,346.0,477.0,477.0,false
1848-09-16,5.0606,bavarian_foot,1476.99,369.0,473.0,473.0,false
1848-09-17,5.0119,bavarian_foot,1462.77,392.0,477.5,477.5,false
1848-09-18,5.0552,bavarian_foot,1475.41,414.5,473.5,473.5,false
1848-09-19,5.0173,bavarian_foot,1464.35,436.5,477.0,477.0,false
1848-09-20,5.0281,bavarian_foot,1467.51,460.0,476.0,476.0,false
1848-09-21,5.0173,bavarian_foot,1464.35,483.0,477.0,477.0,false
1848-09-22,4.9903,bavarian_foot,1456.45,505.5,479.5,479.5,false
1848-09-23,5.0011,bavarian_foot,1459.61,528.5,478.5,478.5,false
1848-09-24,5.0119,bavarian_foot,1462.77,551.0,477.5,477.5,false
1848-09-25,5.0011,bavarian_foot,1459.61,574.0,478.5,478.5,false
1848-09-26,5.0985,bavarian_foot,1488.04,596.5,469.5,469.5,false
1848-09-27,5.0336,bavarian_foot,1469.09,619.5,475.5,475.5,false
1848-09-28,5.0281,bavarian_foot,1467.51,642.0,476.0,476.0,false
1848-09-29,5.1093,bavarian_foot,1491.20,665.0,468.5,468.5,false
1848-09-30,5.1255,bavarian_foot,1495.94,668.5,467.0,467.0,false
