x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1,,,,,,,true
2,,,,,,,true
3,,,,,,,true
4,,,,,,,true
5,,,,,,,true
6,-7.6813,bavarian_zoll,-186.82,316.5,710.5,710.5,false
7,-7.6813,bavarian_zoll,-186.82,328.0,710.5,710.5,false
8,-8.2076,bavarian_zoll,-199.62,339.5,711.5,711.5,false
9,-7.6813,bavarian_zoll,-186.82,351.0,710.5,710.5,false
10,-7.4182,bavarian_zoll,-180.42,362.5,710.0,710.0,false
11,-7.1550,bavarian_zoll,-174.02,374.0,709.5,709.5,false
12,-6.6287,bavarian_zoll,-161.22,385.5,708.5,708.5,false
13,-6.8918,bavarian_zoll,-167.62,397.0,709.0,709.0,false
14,-6.8918,bavarian_zoll,-167.62,408.5,709.0,709.0,false
15,-7.1550,bavarian_zoll,-174.02,420.0,709.5,709.5,false
16,-6.8918,bavarian_zoll,-167.62,431.5,709.0,709.0,false
17,-7.1550,bavarian_zoll,-174.02,443.0,709.5,709.5,false
18,-7.1550,bavarian_zoll,-174.02,454.5,709.5,709.5,false
19,-6.8918,bavarian_zoll,-167.62,466.0,709.0,709.0,false
20,-5.8392,bavarian_zoll,-142.02,477.5,707.0,707.0,false
21,-5.8392,bavarian_zoll,-142.02,489.0,707.0,707.0,false
22,-6.1023,bavarian_zoll,-148.42,500.5,707.5,707.5,false
23,-6.8918,bavarian_zoll,-167.62,512.0,709.0,709.0,false
24,-7.4182,bavarian_zoll,-180.42,523.5,710.0,710.0,false
25,-7.1550,bavarian_zoll,-174.02,534.5,709.5,709.5,false
26,-6.8918,bavarian_zoll,-167.62,546.0,709.0,709.0,false
27,-7.1550,bavarian_zoll,-174.02,557.5,709.5,709.5,false
28,-7.6813,bavarian_zoll,-186.82,569.0,710.5,710.5,false
29,-1.1900,bavarian_zoll,-28.94,580.5,698.2,698.2,false
30,1.6103,bavarian_zoll,39.17,592.0,692.8,692.8,false
31,-7.9445,bavarian_zoll,-193.22,603.5,711.0,711.0,false
32,1.8802,bavarian_zoll,45.73,615.0,692.3,692.3,false
33,8.2608,bavarian_zoll,200.91,626.5,680.2,680.2,false
34,19.0339,bavarian_zoll,462.93,638.0,659.7,659.7,false
35,27.5824,bavarian_zoll,670.85,649.5,643.5,643.5,false
36,16.3918,bavarian_zoll,398.67,661.0,664.8,664.8,false
37,5.5645,bavarian_zoll,135.34,672.5,685.3,685.3,false
38,-7.1550,bavarian_zoll,-174.02,684.0,709.5,709.5,false
39,13.0333,bavarian_zoll,316.99,695.5,671.1,671.1,false
40,16.4770,bavarian_zoll,400.75,707.0,664.6,664.6,false
41,16.0252,bavarian_zoll,389.76,718.5,665.5,665.5,false
42,-6.6287,bavarian_zoll,-161.22,730.0,708.5,708.5,false
43,-6.3655,bavarian_zoll,-154.82,741.5,708.0,708.0,false
44,-6.3655,bavarian_zoll,-154.82,753.0,708.0,708.0,false
45,18.8065,bavarian_zoll,457.40,764.5,660.2,660.2,false
46,33.4772,bavarian_zoll,814.22,776.0,632.3,632.3,false
47,67.8462,bavarian_zoll,1650.13,787.5,567.0,567.0,false
48,68.3725,bavarian_zoll,1662.93,793.0,566.0,566.0,false
49,75.7411,bavarian_zoll,1842.14,810.5,552.0,552.0,false
50,,,,,,,true
51,85.2149,bavarian_zoll,2072.56,827.5,534.0,534.0,false
52,,,,,,,true
53,,,,,,,true
54,98.3730,bavarian_zoll,2392.59,867.5,509.0,509.0,false
