x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1,,,,,,,true
2,,,,,,,true
3,,,,,,,true
4,,,,,,,true
5,,,,,,,true
6,13.9407,unknown,,137.0,812.0,812.0,false
7,16.5034,unknown,,145.5,798.5,798.5,false
8,18.8762,unknown,,154.0,786.0,786.0,false
9,20.4898,unknown,,162.5,777.5,777.5,false
10,22.6728,unknown,,171.0,766.0,766.0,false
11,25.0456,unknown,,180.0,753.5,753.5,false
12,27.2286,unknown,,188.5,742.0,742.0,false
13,28.7472,unknown,,197.0,734.0,734.0,false
14,30.7404,unknown,,205.5,723.5,723.5,false
15,33.1132,unknown,,214.0,711.0,711.0,false
16,35.1064,unknown,,222.5,700.5,700.5,false
17,36.6250,unknown,,231.0,692.5,692.5,false
18,37.9538,unknown,,239.5,685.5,685.5,false
19,39.9470,unknown,,248.0,675.0,675.0,false
20,41.8453,unknown,,256.5,665.0,665.0,false
21,43.3639,unknown,,265.5,657.0,657.0,false
22,44.5028,unknown,,274.0,651.0,651.0,false
23,46.4960,unknown,,282.5,640.5,640.5,false
24,48.3943,unknown,,291.0,630.5,630.5,false
25,50.5773,unknown,,299.5,619.0,619.0,false
26,51.8112,unknown,,308.0,612.5,612.5,false
27,52.9501,unknown,,316.5,606.5,606.5,false
28,54.2789,unknown,,325.0,599.5,599.5,false
29,55.6077,unknown,,333.5,592.5,592.5,false
30,56.8416,unknown,,342.0,586.0,586.0,false
31,58.3602,unknown,,351.0,578.0,578.0,false
32,59.0246,unknown,,359.5,574.5,574.5,false
33,59.7839,unknown,,368.0,570.5,570.5,false
34,61.0178,unknown,,376.5,564.0,564.0,false
35,61.7771,unknown,,385.0,560.0,560.0,false
36,62.7262,unknown,,393.5,555.0,555.0,false
37,63.6754,unknown,,402.0,550.0,550.0,false
38,64.6245,unknown,,410.5,545.0,545.0,false
39,65.4787,unknown,,419.0,540.5,540.5,false
40,66.8075,unknown,,427.5,533.5,533.5,false
41,67.1871,unknown,,436.5,531.5,531.5,false
42,67.1871,unknown,,445.0,531.5,531.5,false
43,67.7566,unknown,,453.5,528.5,528.5,false
44,68.6109,unknown,,462.0,524.0,524.0,false
45,68.7058,unknown,,470.5,523.5,523.5,false
46,68.8956,unknown,,479.0,522.5,522.5,false
47,69.5600,unknown,,487.5,519.0,519.0,false
48,70.1295,unknown,,496.0,516.0,516.0,false
49,70.6989,unknown,,504.5,513.0,513.0,false
50,71.0786,unknown,,513.0,511.0,511.0,false
51,71.9328,unknown,,522.0,506.5,506.5,false
52,72.0277,unknown,,530.5,506.0,506.0,false
53,72.4074,unknown,,539.0,504.0,504.0,false
54,73.0718,unknown,,547.5,500.5,500.5,false
55,73.4514,unknown,,556.0,498.5,498.5,false
56,73.5463,unknown,,564.5,498.0,498.0,false
57,73.7362,unknown,,573.0,497.0,497.0,false
58,73.9260,unknown,,581.5,496.0,496.0,false
59,74.3057,unknown,,590.0,494.0,494.0,false
60,74.6853,unknown,,598.5,492.0,492.0,false
61,74.8751,unknown,,607.5,491.0,491.0,false
62,75.0650,unknown,,616.0,490.0,490.0,false
63,75.2548,unknown,,624.5,489.0,489.0,false
64,76.2039,unknown,,633.0,484.0,484.0,false
65,76.7734,unknown,,641.5,481.0,481.0,false
66,76.8683,unknown,,650.0,480.5,480.5,false
67,77.0581,unknown,,658.5,479.5,479.5,false
68,77.2480,unknown,,667.0,478.5,478.5,false
69,77.5327,unknown,,675.5,477.0,477.0,false
70,77.8174,unknown,,684.0,475.5,475.5,false
71,78.0073,unknown,,693.0,474.5,474.5,false
72,78.1022,unknown,,701.5,474.0,474.0,false
73,78.1971,unknown,,710.0,473.5,473.5,false
74,78.5768,unknown,,718.5,471.5,471.5,false
75,78.6717,unknown,,727.0,471.0,471.0,false
76,79.1462,unknown,,735.5,468.5,468.5,false
77,79.4310,unknown,,744.0,467.0,467.0,false
78,79.4310,unknown,,752.5,467.0,467.0,false
79,79.3361,unknown,,761.0,467.5,467.5,false
80,79.4310,unknown,,769.5,467.0,467.0,false
81,79.6208,unknown,,778.5,466.0,466.0,false
82,79.8106,unknown,,787.0,465.0,465.0,false
83,79.9055,unknown,,795.5,464.5,464.5,false
84,80.0954,unknown,,804.0,463.5,463.5,false
85,80.0954,unknown,,812.5,463.5,463.5,false
86,80.0005,unknown,,821.0,464.0,464.0,false
87,79.9055,unknown,,829.5,464.5,464.5,false
88,79.8106,unknown,,838.0,465.0,465.0,false
89,79.8106,unknown,,841.5,465.0,465.0,false
90,,,,,,,true
91,,,,,,,true
92,,,,,,,true
93,,,,,,,true
94,,,,,,,true
95,,,,,,,true
96,,,,,,,true
97,,,,,,,true
98,,,,,,,true
99,,,,,,,true
100,,,,,,,true
