x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1839-09-01,2.3892,bavarian_foot,697.32,28.0,323.0,323.0,false
1839-09-02,3.2648,bavarian_foot,952.85,51.0,240.0,240.0,false
1839-09-03,4.4409,bavarian_foot,1296.13,74.0,128.5,128.5,false
1839-09-04,4.7943,bavarian_foot,1399.26,97.0,95.0,95.0,false
1839-09-05,4.5095,bavarian_foot,1316.14,120.0,122.0,122.0,false
1839-09-06,4.0928,bavarian_foot,1194.53,143.0,161.5,161.5,false
1839-09-07,3.7658,bavarian_foot,1099.09,166.0,192.5,192.5,false
1839-09-08,2.7268,bavarian_foot,795.84,189.0,291.0,291.0,false
1839-09-09,2.2416,bavarian_foot,654.22,212.0,337.0,337.0,false
1839-09-10,2.1783,bavarian_foot,635.75,235.0,343.0,343.0,false
1839-09-11,1.9409,bavarian_foot,566.48,258.0,365.5,365.5,false
1839-09-12,1.6403,bavarian_foot,478.74,281.0,394.0,394.0,false
1839-09-13,1.3924,bavarian_foot,406.39,304.0,417.5,417.5,false
1839-09-14,1.2817,bavarian_foot,374.06,327.0,428.0,428.0,false
1839-09-15,1.2658,bavarian_foot,369.45,350.0,429.5,429.5,false
1839-09-16,1.2236,bavarian_foot,357.13,373.5,433.5,433.5,false
1839-09-17,1.2025,bavarian_foot,350.97,396.5,435.5,435.5,false
1839-09-18,1.1393,bavarian_foot,332.50,419.5,441.5,441.5,false
1839-09-19,1.0390,bavarian_foot,303.25,442.5,451.0,451.0,false
1839-09-20,1.0074,bavarian_foot,294.02,465.5,454.0,454.0,false
1839-09-21,0.9230,bavarian_foot,269.39,488.5,462.0,462.0,false
1839-09-22,0.8861,bavarian_foot,258.61,511.5,465.5,465.5,false
1839-09-23,0.8861,bavarian_foot,258.61,534.5,465.5,465.5,false
1839-09-24,0.8386,bavarian_foot,244.76,557.5,470.0,470.0,false
1839-09-25,0.8228,bavarian_foot,240.14,580.5,471.5,471.5,false
1839-09-26,0.8070,bavarian_foot,235.52,603.5,473.0,473.0,false
1839-09-27,0.7279,bavarian_foot,212.43,626.5,480.5,480.5,false
1839-09-28,0.7120,bavarian_foot,207.82,649.5,482.0,482.0,false
1839-09-29,0.6593,bavarian_foot,192.42,672.5,487.0,487.0,false
1839-09-30,0.8650,bavarian_foot,252.46,695.5,467.5,467.5,false
